,bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
2429,5679,Beleuchtung > Straßenlaternen defekt,"47.6913086008205, 9.12974000498109",Stadtwerke Konstanz,Gelöst,04.12.2021,"Feursteinstraße 39, 78479 Reichenau, Deutschland                    ",Strassenlampe Feursteinstr. 37 brennt nicht. Lampe am Verkehrschild. Strassenlampe Feursteinstr. 39 ebenfalls defekt.,
2430,5680,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6819608509926, 9.20229745343178",Technische Betriebe,Gelöst,05.12.2021,"B33 150, 78464 Konstanz, Germany                    ",Das Schild sollte erneuert oder geputzt werden. Es total verwittert und fast unkenntlich.,
2431,5681,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.683349609375, 9.15823118762035",Stadtverwaltung,Gelöst,05.12.2021,"Buhlenweg 1, 78467 Konstanz, Germany                    ","aus dem Buhlenweg kommend reagiert die Ampel nicht, man steht so lange bis jemand aus der Winkel Straße auf die Fürstenberg str  fahren möchtev",
2432,5682,Müll/Sauberkeit > Illegaler Müll,"47.684148659914, 9.18191257864237",Amt für Stadtplanung und Umwelt,Ungelöst Abgeschlossen,05.12.2021,"M5MJ+MQ Konstanz, Germany                    ","Hallo, seit vielen Monaten liegt ein alter, defekter Katzenkletterbaum im Wald neben dem Parkplatz an der Universitätsstrasse. (Der Müll wurde mehreren Monaten bereits gemeldet.). Fotos zur genauen Position sind in der Anlage. Danke 😊",
2433,5683,Müll/Sauberkeit > Illegaler Müll,"47.697443077987, 9.16412349790335",Amt für Stadtplanung und Umwelt,Ungelöst Abgeschlossen,05.12.2021,"M5W7+XJ Konstanz, Germany                    ","Direkt links neben dem Waldweg zwischen dem Tierfriedhof und St. Katharinen (ca. 100-200m vom Tierfriedhof entfernt), liegen entsorgte Teile eines aufgelösten Grabes. Es handelt sich um div. unterschiedliche Steinquader.",
2434,5684,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6710815429688, 9.18427079926726",Technische Betriebe,Gelöst,05.12.2021,"Sankt-Gebhard-Platz 24, 78467 Konstanz, Germany                    ",Löcher in der Straße,
2436,5686,Beleuchtung > Straßenlaternen defekt,"47.7129880137032, 9.17066305875778",Stadtwerke Konstanz,Gelöst,06.12.2021,"Raiffeisenstraße 10, 78465 Konstanz, Germany                    ",Nr. 1 leuchtet nicht,
2437,5687,Beleuchtung > Straßenlaternen defekt,"47.6752669668073, 9.18643927328213",Stadtwerke Konstanz,Gelöst,06.12.2021,"Beyerlestraße 15A, 78464 Konstanz, Germany                    ",In der Beyerlestrasse leuchten mehrere Laternen nicht,
2438,5688,Müll/Sauberkeit > Illegaler Müll,"47.743138113445, 9.10994684859055",OV Dettingen-Wallhausen,Gelöst,06.12.2021,"P4V5+7X Konstanz, Germany                    ","Neben einer Mülltonne auf dem Parkplatz liegt illegaler Müll in Tüten
(Adresssuche nach: Langenrainer Str.)",
2439,5689,Beleuchtung > Straßenlaternen defekt,"47.6752956917457, 9.18692639577621",Stadtwerke Konstanz,Gelöst,06.12.2021,"Sierenmoosstraße 12, 78464 Konstanz, Deutschland                    ","In der Beyerlestraße sind alle Straßenlaternen ab Nr.6 bis zur Uhlandstraße hoch ausgefallen. Auch die Nr 8 der Sierenmoosstraße ist aus! Es ist sehr finster für Fußgänger!
(Adresssuche nach: Beyerlestraße)",
2441,5691,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6827123117431, 9.14671555080161",Technische Betriebe,Gelöst,08.12.2021,"Konstanz Wollmatingen, 78467 Konstanz, Germany                    ","Es wird gebeten, die Böschung an diesem Bahnsteig zu mähen, damit diese nicht vollends verwildert.",
2442,5692,Müll/Sauberkeit > Illegaler Müll,"47.6753121259788, 9.1983612254262",Technische Betriebe,Gelöst,08.12.2021,"Hermann-von-Vicari-Straße 1, 78464 Konstanz, Germany                    ",Neben der Packstation,
2443,5693,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.665461224241, 9.17076580224278",Technische Betriebe,Gelöst,08.12.2021,"Gartenstraße 18b, 78462 Konstanz, Germany                    ","Gulli in Gartenstraße auf Höhe Bushaltestelle Ellenrieder Gymnasium verstopft, Regenwasser kann nicht abfließen und steht auf der Straße
(Adresssuche nach: Gartenstraße 13)",
2444,5694,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6602978793096, 9.1707110959626",Technische Betriebe,Gelöst,08.12.2021,"Talgartenstraße 1, 78462 Konstanz, Germany                    ","Der Strassenablauf auf der linken Seite, Gegenüber Haus Nr. 2a ist verstopft",
2445,5695,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6716046037294, 9.17522765105812",Technische Betriebe,Gelöst,08.12.2021,"Klingenbergstraße 14, 78467 Konstanz, Germany                    ",Der Gulli ist komplett verstopft,
2446,5696,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6701372, 9.1765614",Technische Betriebe,Gelöst,08.12.2021,"Ebertpl. 8, 78467 Konstanz, Deutschland                    ",Der Gulli ist komplett verstopft vor der Tiefgaragenzufahrt Ebertplatz 8,
2447,5697,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6642530698839, 9.17045156649359",Technische Betriebe,Gelöst,08.12.2021,"Brauneggerstraße 24, 78462 Konstanz, Germany                    ",An der Fußgängerampel bei der Wallgutschule hat sich auf der Brauneggerstraße ein großer See gebildet. Wahrscheinlich ist hier ein Ablauf verstopft.,
2448,5698,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6641375792719, 9.17105858777069",Technische Betriebe,Gelöst,08.12.2021,"Wallgutstraße 8, 78462 Konstanz, Germany                    ",Bei dem Dachrinnenanschluss des Gebäude Wallgutstraße 8 ist im Gehweg eine starke Unterspülung und ein Loch. Es besteht Unfallgefahr.,
2449,5699,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6700483174589, 9.1756728877659",Technische Betriebe,Gelöst,08.12.2021,"Reichenaustraße 9, 78467 Konstanz, Germany                    ",Der Gulli auf dem Gehweg vor der Fuß- und Radfahrerampel auf dem Nord-westlichen Ebertplatz ist verstopft.,
2450,5700,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6689798466219, 9.17643581128953",Technische Betriebe,Gelöst,08.12.2021,"Spanierstraße 7, 78467 Konstanz, Germany                    ","Obwohl heute der Reinigungstrupp vor Ort war, gibt es weiterhin mehrere Strassenabläufe in der Spanierstrasse vor dem Landratsamt, die komplett verstopft sind. In einem wächst bereits Gras.",
2451,5701,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.684385796913, 9.14908214347511",Technische Betriebe,Gelöst,08.12.2021,"Konstanz, Karlsruher Strasse, 78467 Konstanz, Germany                    ","Die Gitter der Regenablaufrinne an der Bushaltestelle in der Karlsruherstrasse sind verbogen und loose, es besteht eine sehr hohe Unfallgefahr.",
2453,5703,Müll/Sauberkeit > Mülleimer überfüllt,"47.6775611, 9.2083928",Technische Betriebe,Gelöst,09.12.2021,"Überlinger Str. 19, 78464 Konstanz, Germany                    ",Müll ist voll,
2454,5704,Öffentliche Orte/Ufer > Freizeitgelände beschädigt / verunreinigt,"47.6774516914017, 9.19081976403198",Technische Betriebe,in Bearbeitung,09.12.2021,"Uhlandstraße 45, 78464 Konstanz, Germany                    ","An/auf dem Hügel über dem Wasserbehälter müsste das Gras bzw. das Gestrüpp eigentlich vor der Winterpause gemäht werden, möglichst bevor es noch richtig schneit.",
2455,5705,Beleuchtung > Straßenlaternen defekt,"47.6907958984375, 9.15073022096975",Stadtwerke Konstanz,Gelöst,09.12.2021,"Benedikt-Bauer-Straße 10, 78467 Konstanz, Germany                    ",Leuchte 8,
2456,5706,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6796728575415, 9.15608976908414",Technische Betriebe,Gelöst,10.12.2021,"Reutestraße 92A, 78467 Konstanz, Germany                    ","Auf dem Bodenseeradweg  zwischen Haltestelle Fürstenberg und Wollmatingen gibt es zwei Stellen, an denen zur Zeit Wasser auf dem Radweg steht oder über diesen läuft. Dies ist für Radfahrer jetzt im Winter eine enorme Gefahrenstelle wegen der Glatteisbildung. Habe dieses schon vor Jahren gemeldet, aber es ist nichts geschehen. Wäre dies auf einer Straße, würde man diesen Mangel kurzfristig beheben. Bei einem Sturz mit Schmerzen oder einem Bruch, würde ich die Verantwortlichen vor Gericht wegen unterlassener Hilfeleistung zeigen. Ich fordere sie hiermit nochmals auf, diese Mängel unverzüglich zu beseitigen, um die Sicherheit auf diesem Radweg wieder herzustellen.",
2458,5708,Müll/Sauberkeit > Illegaler Müll,"47.6692618188257, 9.18055377659471",Technische Betriebe,Gelöst,11.12.2021,"Eisenbahnstraße 21, 78467 Konstanz, Deutschland                    ",Müll seit mehren Wochen vor der Eisenbahnstr 21,
2460,5710,Müll/Sauberkeit > Illegaler Müll,"47.6704566548625, 9.16959688067436",Technische Betriebe,Gelöst,12.12.2021,"Adolf-Schmid-Straße 8, 78467 Konstanz, Germany                    ",Einkaufswagen im Rheinufer,
2461,5711,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6575964934046, 9.16806380732129",Technische Betriebe,in Bearbeitung,13.12.2021,"M559+26 Konstanz, Germany                    ",Der geschotterte Radewegabschnitt verwandelt sich jeden Spätherbst bei Nässe nach dem Laubfall in einen Matschweg. Das sollte mal gelöst werden.,
2462,5712,Müll/Sauberkeit > Illegaler Müll,"47.6712057146472, 9.21128230201949",Technische Betriebe,Gelöst,14.12.2021,"Seehalde 7, 78464 Konstanz, Germany                    ",Müll auf Verteilerkasten,
2466,5716,Beleuchtung > Straßenlaternen defekt,"47.672686063906, 9.17208963113996",Stadtwerke Konstanz,Gelöst,15.12.2021,"Markgrafenstraße 54, 78467 Konstanz, Deutschland                    ",Laterne vor der Markgrafenstr. 54 ist seit einer Woche defekt,
2467,5717,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.6666363592633, 9.16234488188542",Stadtverwaltung,Gelöst,15.12.2021,"Gartenstraße 41, 78462 Konstanz, Germany                    ","Die Ampel in der Gartenstraße zur neuen Rheinbrücke (Europastraße) zeigt zunächst mit grünem Pfeil die freie Fahrt Richtung Rheinbrücke. Danach wird diese Richtung kurz rot, um dann mit grün in alle Richtungen die freie Fahrt Richtung Rheinbrücke wieder anzuzeigen. Der kurzen Stop der Fahrt für Rechtsabbieger Richtung neue Rheinbrücke ist unnötig, da dort weder Fußgänger noch andere Verkehrsteilnehmer queren. Die Ampel sollte ohne Unterbrechung zwischen den beiden Phasen freie Fahrt für Rechtsabbieger von der Gartenstraße In Richtung Rheinbrücke anzeigen!",
2469,5719,Müll/Sauberkeit > Illegaler Müll,"47.6840084050747, 9.18221286823914",Technische Betriebe,Gelöst,16.12.2021,"M5MJ+JV Konstanz, Germany                    ",2 + 8 entsorgte Autoreifen,
2470,5720,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6776184422701, 9.19475359976518",Melanie Hemberger,Gelöst,17.12.2021,"Sonnenbühlstraße 87, 78464 Konstanz, Germany                    ","Pflanzenbewuchs wuchert auf den Gehweg, macht ihn 50% schmaler und behindert das Gehen. Nebeneinander oder aneinander vorbei gehen ist dadurch nicht möglich. Man muss auf die Strasse ausweichen, was gefährlich ist.",
2471,5721,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6857429131116, 9.19772255730117",Technische Betriebe,Gelöst,17.12.2021,"Mainaustraße 194, 78464 Konstanz, Deutschland                    ","Der Fuß- und Radweg zwischen Bushaltestelle Jugendherberge stadtauswärts und Mainaustr. 194 ist seit Monaten nicht mehr gereinigt worden. Viel Laub und Dreck. Vor den Altglascontainern gegenüber Mainaustr. 194 ist der gepflasterte Boden schlammig und verdreckt.
(Adresssuche nach: Mainaustr. 192)",
2472,5722,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6667288768375, 9.17901549523603",Stadtverwaltung,Ungelöst Abgeschlossen,21.12.2021,"Sternenpl., 78464 Konstanz, Germany                    ","An der nördlichen Seite des Radweges befindet sich eine Metallschwelle, bei deren Überfahrung ein sehr lautes klapperndes Geräusch entsteht. Auf der Südseite ist es viel besser.",
2473,5723,Beleuchtung > Straßenlaternen defekt,"47.6758130099593, 9.19504605353792",Stadtwerke Konstanz,Gelöst,21.12.2021,"Elblingweg 12, 78464 Konstanz, Germany                    ",Auf dem kurzen Verbindungsstück zwischen den Strassen „Im Weinberg“ und „Elblingweg“ ist die einzige dort befindliche Strassenlaterne defekt.,
2474,5724,Müll/Sauberkeit > Mülleimer überfüllt,"47.6797388141202, 9.18901103930959",Technische Betriebe,Gelöst,21.12.2021,"Sonnenbühlstraße 47D, 78464 Konstanz, Germany                    ","es wäre toll wenn die beiden Mülleimer noch vor Weihnachten geleert werden können.
Vielen Dank",
2475,5725,Müll/Sauberkeit > Mülleimer überfüllt,"47.6762085789102, 9.20888755470514",Technische Betriebe,Gelöst,22.12.2021,"Lindauer Str. 53, 78464 Konstanz, Germany                    ",Müll ist voll,
2476,5726,Beleuchtung > Straßenlaternen defekt,"47.7334617432871, 9.11367699075524",Stadtwerke Konstanz,Gelöst,22.12.2021,"Kelhofstraße 34, 78465 Konstanz, Germany                    ","Laterne mit Mast Nummer 10 leuchtet seit einigen Tagen/Nächten nicht mehr.
(Adresssuche nach: Kehlhofstr)",
2477,5727,Müll/Sauberkeit > Illegaler Müll,"47.6876651596732, 9.17053330689669",Amt für Stadtplanung und Umwelt,Ungelöst Abgeschlossen,23.12.2021,"M5QC+36 Konstanz, Germany                    ",In der Kurve bei der Wendeplattform liegt Müll,
2478,5728,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6637015451733, 9.1752503067255",Meyer,Gelöst,23.12.2021,"Gerichtsgasse 2, 78462 Konstanz, Germany                    ",Poller Gerichtsgasse durchgehend versenkt. Bitte wieder aktivieren.,
2481,5731,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6562941175067, 9.17267590907981",Technische Betriebe,Gelöst,25.12.2021,"Kreuzlinger Str. 60A, 78462 Konstanz, Germany                    ",Die zwei beidseitigen Schilder 'Einbahn ausgen. Fahrräder' sind sehr verblichen. Das Schild 'Information' ist vermoost und die Frage ist: Wo führt das überhaupt hin?,
2482,5732,Öffentliche Orte/Ufer > Sportplätze beschädigt / verunreinigt,"47.6693754999255, 9.1707589999998",Technische Betriebe,Gelöst,27.12.2021,"L-Gebäude, 78462 Konstanz, Germany                    ","Viele Glasscherben auf und um den Bolzplatz neben der Gemeinschaftsschule.
Die hier spielenden Kinder und Jugendlichen werden dadurch gefährdet.",
2483,5733,Beleuchtung > Straßenlaternen defekt,"47.6657696444742, 9.17272738071873",Stadtwerke Konstanz,Gelöst,28.12.2021,"Schottenstraße 65, 78462 Konstanz, Germany                    ",Laterne Nr. 21 Schottenstraße defekt.,
2484,5734,Beleuchtung > Straßenlaternen defekt,"47.6711697, 9.1767556",Stadtwerke Konstanz,Gelöst,28.12.2021,"Markgrafenstraße 6, 78467 Konstanz, Germany                    ","Straßenlaterne vor Haus Markgrafenstr. 6 ist kaputt.
(Adresssuche nach: Markgrafenstr. 6, 78467 Konstanz)",
2485,5735,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.665692392313, 9.17711053971769",Stadtverwaltung,Gelöst,28.12.2021,"Rheingasse 18-20, 78462 Konstanz, Deutschland                    ","Rheingasse, Abgang zum Bärengraben: mehrere kaputte, unabgeschlossene Räder und anderer Müll, inzwischn offensichtlich von Passanten als Müllhalde wahrgenommen und genutzt!",
2486,5736,Beleuchtung > Straßenlaternen defekt,"47.6748657226563, 9.19186248444873",Stadtwerke Konstanz,Gelöst,29.12.2021,"Sierenmoosstraße 49, 78464 Konstanz, Germany                    ",Laterne ist defekt,
2487,5737,Müll/Sauberkeit > Mülleimer überfüllt,"47.6654225803025, 9.1780461743474",Technische Betriebe,Gelöst,29.12.2021,"M58H+56 Konstanz, Germany                    ",müll landet im seeWE,
2488,5738,Beleuchtung > Straßenlaternen defekt,"47.6832196596323, 9.15051293995485",Stadtwerke Konstanz,Gelöst,30.12.2021,"Leipziger Str. 11, 78467 Konstanz, Germany                    ",Strassenbeleuchtung geht nicht,
2490,5740,Öffentliche Orte/Ufer > Seeufer verschmutzt,"47.6772116, 9.2093178",Technische Betriebe,Gelöst,30.12.2021,"Fohrenbühlweg 7, 78464 Konstanz, Germany                    ",Hallo im Hoerlepark hat es ein Surfbrett angeschwämt. Es ist noch ein Abus Schloss dran befestigt.,
2491,5741,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6667134946668, 9.17913750654426",Stadtverwaltung,Ungelöst Abgeschlossen,30.12.2021,"Seestraße 1, 78464 Konstanz, Germany                    ",sehr hohe gefährliche Kante stadtauswärts. ist für Kinderfahrrad bzw. unsichere Fahrer gefährlich.,
2493,5743,Beleuchtung > Straßenlaternen defekt,"47.7342361226271, 9.11764006171009",Stadtwerke Konstanz,Gelöst,02.01.2022,"Dingelsdorfer Str. 2, 78465 Konstanz, Germany                    ","Die Strassenlaterne mit Mast Nr. 3 vor dem Parkplatz vom Weltladen in der Dingelsdorfer Str. brennt nicht.
(Adresssuche nach: Dingelsdorfer Str.2)",
2494,5744,Beleuchtung > Straßenlaternen defekt,"47.737982, 9.1108777",Stadtwerke Konstanz,Gelöst,02.01.2022,"Zellerstraße 11, 78465 Konstanz, Germany                    ","Laterne mit der Mastnummer 4 brennt nicht. Außerdem steckt sie in einem Busch. Ist im Moment unkritisch, da keine Blätter. Aber der nächste Sommer kommt (hoffentlich).
(Adresssuche nach: Zeller Str. 11 Konstanz)",
2496,5746,Beleuchtung > Straßenlaternen defekt,"47.742606592337, 9.15117659405908",Stadtwerke Konstanz,Gelöst,02.01.2022,"u. Bohlstraße 45, 78465 Konstanz, Germany                    ",Straßenbeleuchtung defekt,
2497,5747,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6739603470766, 9.17465088528061",Technische Betriebe,Gelöst,03.01.2022,"Z-Brücke, Bahnhof, 78467 Konstanz, Germany                    ","Stand Samstag, 1.1.2021
Glasscherben liegen im Geh- und Fahrbereich",
2498,5748,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6774910963304, 9.14657717512032",S. Fuchs,Gelöst,03.01.2022,"August-Borsig-Straße 2, 78467 Konstanz, Germany                    ","Bitte das vorhandene Schild ""Sackgasse""  ersetzen durch ""durchlässige Sackgasse"" ersetzen.",
2500,5750,Müll/Sauberkeit > Illegaler Müll,"47.7414309246638, 9.10881716325923",Amt für Stadtplanung und Umwelt,Ungelöst Abgeschlossen,03.01.2022,"P4R5+HG Konstanz, Germany                    ",Sperrmüll im Wald neben dem Fortstweg,
2501,5751,Beleuchtung > Straßenlaternen defekt,"47.6633568458577, 9.20613376019118",Stadtwerke Konstanz,in Bearbeitung,03.01.2022,"Alpsteinweg 14, 78464 Konstanz, Deutschland                    ","Laterne auf Höhe der ""Brücke"" ist defekt.",
2502,5752,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.673613768381, 9.17440680426005",Technische Betriebe,Gelöst,03.01.2022,"Robert Gerwig Straße 12, Eingang über Bruder-Klaus-Straße, 78467 Konstanz, Germany                    ","Poller am Radweg am Petershausner Bahnhof sind an allen Stellen dauerhaft demontiert.
Einfahrt vom Bahnübergang vor und nach dem Bahnhof Petershausen. 
Immer wieder reger Autoverkehr von Lieferdiensten, Anwohnern, Postversand",
2503,5753,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6738305702283, 9.17447117727672",Hochbauamt,Gelöst,03.01.2022,"Z-Brücke, Bahnhof, 78467 Konstanz, Germany                    ","Aufzug der Z-Brücke ist auf der Nordseite defekt.
Auf der Südseite hab jemand in den Aufzug gepinkelt und es stinkt erbärmlich im Aufzug.",
2504,5754,Müll/Sauberkeit > Mülleimer überfüllt,"47.6686323782323, 9.18052118271589",Technische Betriebe,Gelöst,04.01.2022,"Theodor-Heuss-Straße 1, 78467 Konstanz, Germany                    ",Übervoller Mülleimer,
2505,5755,Müll/Sauberkeit > Mülleimer überfüllt,"47.6654657070612, 9.17814206331968",Technische Betriebe,Gelöst,04.01.2022,"Konzilstraße 21, 78462 Konstanz, Germany                    ",Übervoller Mülleimer,
2506,5756,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6731944031704, 9.17352098007021",Technische Betriebe,Gelöst,04.01.2022,"Bruder-Klaus-Straße 10a, 78467 Konstanz, Deutschland                    ","Am Platz bei der Kutmühle Poller am Radweg demontiert.
Immer wieder reger Autoverkehr von Lieferdiensten, Anwohnern, Postversand",
2507,5757,Beleuchtung > Straßenlaternen defekt,"47.6768111419888, 9.1866059897998",Stadtwerke Konstanz,Gelöst,04.01.2022,"Beyerlestraße 29, 78464 Konstanz, Germany                    ",Lampe leuchtet nicht,
2508,5758,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6802978433272, 9.17950294911861",Technische Betriebe,Gelöst,04.01.2022,"Stockackerweg 55, 78464 Konstanz, Germany                    ","Entgegen der Behoben Meldung sieht die Realität anders aus. Da ist nichts behoben worden.
Nichtsdestotrotz wünsche ich ein gutes Jahr 2022. Viele Grüße 
[...]",
2509,5759,Müll/Sauberkeit > Illegaler Müll,"47.6592330278939, 9.17635500542983",Technische Betriebe,Gelöst,04.01.2022,"Raueneckgasse 1B, 78462 Konstanz, Deutschland                    ",Einkaufswägen mit Müll,
2510,5760,Müll/Sauberkeit > Altglascontainer überfüllt,"47.7355306338444, 9.11525694134746",Technische Betriebe,Gelöst,04.01.2022,"Schulweg 2, 78465 Konstanz, Germany                    ","Altglascontainer völlig überfüllt
(Adresssuche nach: Schulweg)",
2511,5761,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.674072265625, 9.17093662301186",Stadtverwaltung,Gelöst,05.01.2022,"Bruder-Klaus-Straße 22, 78467 Konstanz, Germany                    ",herrenloses Fahrrad. unabgeschlossen. seit ca. drei Wochen.,
2512,5762,Beleuchtung > Straßenlaternen defekt,"47.713108, 9.1681351",Stadtwerke Konstanz,Gelöst,05.01.2022,"Am Guckenbühl 7, 78465 Konstanz, Deutschland                    ",Am Guckenbühl 7 brennt die Straßenlaterne nicht.,
2513,5763,Beleuchtung > Straßenlaternen defekt,"47.6786859959645, 9.18871247410524",Stadtwerke Konstanz,Gelöst,05.01.2022,"Uhlandstraße 23, 78464 Konstanz, Germany                    ","Zwei defekte Straßenlaternen an der Treppe zwischen Caritas und Buchenbergschule.
Mag sein, dass die Stadtwerke diese ""nicht auf dem Radar"" haben (es fehlt auch eine Laternen-Nummer). Aber gerade in der dunklen Jahreszeit ist die Beleuchtung für die Horden von Grundschüler, die diesen Weg täglich nehmen extrem wichtig. Immerhin hatte die Stadt unlängst diese Treppe aus diesem Grund ja saniert. Es sollte hier doch eine Lösung zu finden sein!",
2514,5764,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6643339166028, 9.16206916947074",Technische Betriebe,Gelöst,06.01.2022,"Turnierstraße 28, 78462 Konstanz, Germany                    ","Häufig findet sich viel Müll am Fuße der Fußgängerbrücke in der Turnierstraße. Da es in der Nähe keine öffentlichen Abfalleimer gibt, wäre vermutlich schon etwas geholfen, wenn hier ein solcher aufgestellt werden könnte.",
2515,5765,Beleuchtung > Straßenlaternen defekt,"47.7149676435949, 9.17185596425427",Stadtwerke Konstanz,Gelöst,06.01.2022,"Martin-Schleyer-Straße 37, 78465 Konstanz, Germany                    ",Die Straßenbeleuchtung ist schon seit gut 3 Wochen ausgefallen.,
2516,5766,Beleuchtung > Straßenlaternen defekt,"47.6833354, 9.1667541",Stadtwerke Konstanz,Gelöst,06.01.2022,"Sonnentauweg 31, 78467 Konstanz, Germany                    ","Die Straßenlaterne ist defekt.
(Adresssuche nach: Sonnentauweg 31)",
2517,5767,Müll/Sauberkeit > Illegaler Müll,"47.6713329530172, 9.16937336037906",Stadtverwaltung,Gelöst,08.01.2022,"Reichenaustraße 11A, 78467 Konstanz, Germany                    ",Im gesamten Bereich der Reichenaustr. befinden sich abgelegte Weihnachtsbäume.,
2518,5768,Beleuchtung > Straßenlaternen defekt,"47.6901265684488, 9.13132309913635",Stadtwerke Konstanz,Gelöst,08.01.2022,"Bodanrückweg 6, 78467 Konstanz, Germany                    ",lampe defekt,
2519,5769,Beleuchtung > Straßenlaternen defekt,"47.6897386097489, 9.13056403398514",Stadtwerke Konstanz,Gelöst,08.01.2022,"Seerückenstraße 49, 78467 Konstanz, Germany                    ",lampe defekt,
2520,5770,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6682739257812, 9.19804698788486",Stadtverwaltung,Gelöst,09.01.2022,"Brucknerstraße 6, 78464 Konstanz, Germany                    ",Fahrrad steht schon ein paar Wochen - nicht abgesperrt.,
2522,5772,Beleuchtung > Straßenlaternen defekt,"47.7172158, 9.1773899",Stadtwerke Konstanz,Gelöst,09.01.2022,"a. See 28, 78465 Konstanz, Germany                    ","Straßenlaterne defekt/aus seit ca. 8 Wochen.
(Adresssuche nach: am see 28 78465)",
2523,5773,Beleuchtung > Straßenlaternen defekt,"47.6783781531652, 9.1850778690151",Stadtwerke Konstanz,in Bearbeitung,09.01.2022,"Friedrichstraße 47, 78464 Konstanz, Germany                    ",Die erste Lampe in Raitebergweg ist defekt.,
2524,5774,Beleuchtung > Straßenlaternen defekt,"47.6697575397571, 9.18105700678423",Stadtwerke Konstanz,Gelöst,10.01.2022,"Alter Wall 17, 78467 Konstanz, Germany                    ",Straßenlaterne ist (noch/ wieder) defekt.,
2525,5775,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.667569030428, 9.17359938557832",Technische Betriebe,Gelöst,10.01.2022,"Webersteig 5, 78462 Konstanz, Germany                    ","Gulli ist wieder verstopft, große Wasserlache im Kreuzungsbereich
(Adresssuche nach: Webersteig/Fahrradbrücke)",
2526,5776,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6700568, 9.1773865",Technische Betriebe,in Bearbeitung,10.01.2022,"Karl-Großhans-Weg 5, 78467 Konstanz, Deutschland                    ","Anfang Karl-Großhans-Weg und Ecke Bewohnerzentrum loses Kopfsteinpflaster.
(Adresssuche nach: Karl-Großhans-Weg)",
2527,5777,Beleuchtung > Straßenlaternen defekt,"47.6675182, 9.1952035",Stadtwerke Konstanz,Gelöst,11.01.2022,"Hinterhauser Str. 13, 78464 Konstanz, Germany                    ","Straßenlaterne Nr. 9 bei Hinterhauser Straße 13 seit einigen Tagen defekt.
(Adresssuche nach: Hinterhauser Str. 13)",
2528,5778,Beleuchtung > Straßenlaternen defekt,"47.6752826036819, 9.18597613637608",Stadtwerke Konstanz,Gelöst,11.01.2022,"Sierenmoosstraße 8, 78464 Konstanz, Deutschland                    ","Die Laterne Sierenmoosstraße Nr.8 ist leider immer noch dunkel obwohl der Defekt als gelöst aufgelistet wird.
(Adresssuche nach: Sierenmoosstraße)",
2529,5779,Beleuchtung > Straßenlaternen defekt,"47.6814533438751, 9.17028285562992",Stadtwerke Konstanz,Gelöst,11.01.2022,"Taborweg 36, 78467 Konstanz, Germany                    ",Leuchte defekt,
2530,5780,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6633809700943, 9.17516240251959",Technische Betriebe,Gelöst,12.01.2022,"Wessenbergstraße 1, 78462 Konstanz, Germany                    ",Glasscherben an den Fahrradständern,
2531,5781,Beleuchtung > Straßenlaternen defekt,"47.7119757868824, 9.17384348809719",Stadtwerke Konstanz,Gelöst,12.01.2022,"Martin-Schleyer-Straße 6b, 78465 Konstanz, Germany                    ",Straßenlaternen beide ohne Funktion,
